product_category,order_count,avg_review_score,low_rating_1_2_rate,low_rating_1_3_rate
bed_bath_table,9313,3.9,16.76,26.82
health_beauty,8771,4.14,12.7,20.49
sports_leisure,7669,4.11,13.01,20.26
computers_accessories,6649,3.93,16.09,24.23
furniture_decor,6398,3.91,16.68,25.49
housewares,5843,4.05,13.21,21.75
watches_gifts,5576,4.02,15.21,23.8
telephony,4168,3.95,15.48,25.48
auto,3877,4.06,14.5,22.29
toys,3853,4.16,12.69,20.3
cool_stuff,3599,4.15,12.5,20.53
garden_tools,3496,4.05,13.44,21.42
perfumery,3150,4.17,13.33,20.0
baby,2861,4.01,16.01,24.64
electronics,2531,4.04,14.07,21.93
stationery,2295,4.2,11.46,17.86
fashion_bags_accessories,1854,4.15,11.6,19.96
pet_shop,1701,4.18,11.64,18.69
unknown,1439,3.84,20.08,26.41
office_furniture,1263,3.49,22.64,37.21
consoles_games,1052,4.02,14.26,24.43
luggage_accessories,1030,4.32,9.22,16.02
home_appliances,761,4.16,12.48,20.63
construction_tools_construction,743,4.05,14.54,23.15
small_appliances,624,4.15,13.94,19.55
musical_instruments,622,4.15,13.18,19.61
books_general_interest,508,4.45,8.27,11.61
home_construction,487,3.94,17.66,25.67
food,445,4.22,11.46,16.4
furniture_living_room,417,3.9,15.35,25.42
home_confort,395,3.83,19.24,32.41
audio,347,3.83,21.9,31.41
drinks,296,4.04,12.16,19.59
market_place,278,4.02,13.67,24.82
books_technical,257,4.36,10.12,13.62
air_conditioning,249,3.97,16.47,24.1
kitchen_dining_laundry_garden_furniture,246,3.96,13.82,24.39
construction_tools_lights,241,4.05,11.2,22.82
fashion_shoes,236,4.23,12.71,20.34
industry_commerce_and_business,233,4.1,11.16,20.17
home_appliances_2,232,4.14,12.93,20.26
food_drink,226,4.31,5.75,16.37
fixed_telephony,214,3.68,18.69,27.1
art,200,3.94,16.0,25.0
costruction_tools_garden,194,4.05,13.92,19.07
agro_industry_and_commerce,182,4.0,14.84,21.98
computers,178,4.18,12.92,18.54
construction_tools_safety,166,3.84,20.48,28.31
signaling_and_security,138,4.09,11.59,23.91
christmas_supplies,126,4.02,12.7,22.22
