customer_state,order_count,avg_review_score,low_rating_2_count,low_rating_2_rate,late_orders,late_rate,avg_delay_days
AL,410,3.76,98,23.9,82,20.0,-8.82
MA,742,3.76,162,21.83,122,16.44,-9.65
SE,349,3.81,76,21.78,50,14.33,-10.07
RJ,12687,3.88,2625,20.69,1456,11.48,-11.83
CE,1326,3.86,261,19.68,174,13.12,-10.85
PA,962,3.85,188,19.54,100,10.4,-14.19
BA,3340,3.86,631,18.89,384,11.5,-10.9
PI,490,3.92,90,18.37,65,13.27,-11.3
PE,1635,4.01,274,16.76,149,9.11,-13.36
PB,530,4.02,88,16.6,52,9.81,-13.45
RO,252,4.05,39,15.48,7,2.78,-20.09
DF,2128,4.06,321,15.08,118,5.55,-12.04
ES,2006,4.04,300,14.96,205,10.22,-10.68
GO,2007,4.04,296,14.75,124,6.18,-12.25
SC,3609,4.07,528,14.63,284,7.87,-11.58
MS,713,4.11,104,14.59,68,9.54,-11.03
AM,146,4.21,21,14.38,4,2.74,-19.59
RN,480,4.11,68,14.17,43,8.96,-13.68
MT,900,4.1,124,13.78,51,5.67,-14.45
TO,279,4.1,38,13.62,27,9.68,-12.11
RS,5443,4.13,728,13.37,321,5.9,-13.92
MG,11554,4.14,1538,13.31,506,4.38,-13.26
SP,41472,4.17,5242,12.64,1786,4.31,-11.1
PR,5019,4.18,625,12.45,194,3.87,-13.35
