c.customer_state,order_count,avg_delivery_days,avg_delay_days,late_order_count,late_rate,avg_review_score
AL,396,24.53,-8.68,85,21.46,3.84
MA,714,21.44,-9.64,123,17.23,3.84
SE,334,21.46,-9.99,51,15.27,3.91
ES,1989,15.69,-10.53,211,10.61,4.08
CE,1275,21.22,-10.78,176,13.8,3.94
BA,3248,19.26,-10.82,393,12.1,3.93
MS,701,15.54,-11.05,68,9.7,4.16
SP,40481,8.7,-11.08,1819,4.49,4.25
PI,473,19.4,-11.34,66,13.95,3.99
SC,3547,14.91,-11.51,291,8.2,4.13
RJ,12340,15.24,-11.77,1495,12.12,3.96
DF,1917,12.88,-12.08,110,5.74,4.13
TO,273,17.62,-12.09,27,9.89,4.15
GO,1948,15.54,-12.18,128,6.57,4.11
MG,11346,11.94,-13.25,518,4.57,4.19
PB,515,20.38,-13.28,54,10.49,4.07
PE,1589,18.39,-13.31,152,9.57,4.08
PR,4912,11.92,-13.33,197,4.01,4.24
RN,472,19.19,-13.67,43,9.11,4.15
RS,5340,15.25,-13.91,324,6.07,4.18
PA,944,23.74,-14.05,106,11.23,3.91
MT,884,17.99,-14.38,53,6.0,4.15
AM,145,26.36,-19.57,4,2.76,4.24
RO,241,19.28,-20.08,7,2.9,4.16
