review_month,reviewed_orders,late_rate,low_rating_2_rate,avg_delay_days
2016-10-01,177,0.56,16.38,-41.94
2016-11-01,101,1.98,37.62,-24.14
2016-12-01,45,0.0,64.44,-45.07
2017-01-01,236,0.0,8.47,-30.15
2017-02-01,1403,0.64,9.55,-25.07
2017-03-01,2467,2.72,15.77,-13.93
2017-04-01,2049,4.59,15.28,-13.66
2017-05-01,3678,4.79,13.84,-12.29
2017-06-01,3402,2.62,13.14,-13.57
2017-07-01,3476,2.68,12.03,-12.38
2017-08-01,4459,2.44,11.46,-13.08
2017-09-01,4164,3.05,12.37,-11.41
2017-10-01,4398,3.93,12.26,-12.72
2017-11-01,4752,4.08,13.43,-10.8
2017-12-01,7925,11.19,18.54,-10.11
2018-01-01,6151,5.93,14.97,-13.15
2018-02-01,6051,6.31,16.11,-11.9
2018-03-01,7715,17.56,23.51,-6.3
2018-04-01,7274,12.76,19.08,-9.55
2018-05-01,7445,4.15,12.09,-12.13
2018-06-01,6710,5.56,12.27,-17.27
2018-07-01,5612,1.62,10.39,-13.98
2018-08-01,8983,6.21,12.16,-8.48
