review_month,reviewed_orders,avg_review_score,low_rating_2_orders,low_rating_2_rate,low_rating_3_rate
2016-10-01,177,4.05,29,16.38,23.73
2016-11-01,101,3.19,38,37.62,45.54
2016-12-01,45,2.36,29,64.44,66.67
2017-01-01,236,4.33,20,8.47,18.22
2017-02-01,1403,4.28,134,9.55,17.89
2017-03-01,2467,4.03,389,15.77,24.56
2017-04-01,2049,4.04,313,15.28,24.74
2017-05-01,3678,4.1,509,13.84,22.73
2017-06-01,3402,4.13,447,13.14,22.08
2017-07-01,3476,4.18,418,12.03,20.66
2017-08-01,4459,4.23,511,11.46,19.08
2017-09-01,4164,4.18,515,12.37,19.72
2017-10-01,4398,4.18,539,12.26,19.76
2017-11-01,4752,4.11,638,13.43,22.56
2017-12-01,7925,3.93,1469,18.54,26.95
2018-01-01,6151,4.06,921,14.97,23.88
2018-02-01,6051,4.01,975,16.11,25.45
2018-03-01,7715,3.73,1814,23.51,32.81
2018-04-01,7274,3.92,1388,19.08,27.36
2018-05-01,7445,4.19,900,12.09,19.65
2018-06-01,6710,4.2,823,12.27,20.01
2018-07-01,5612,4.29,583,10.39,17.41
2018-08-01,8983,4.21,1092,12.16,19.31
