seller_id,seller_state,order_count,avg_review_score,low_rating_1_2_rate,seller_quadrant
6560211a19b47992c3666cc44a7e94c0,SP,1838,3.91,17.36,Risk zone
4a3ca9315b744ce9f8e9374361493884,SP,1785,3.8,19.16,Risk zone
cc419e0650a3c5ba77189a1882b7556a,SP,1698,4.06,15.08,Risk zone
1f50f920176fa81dab994f9023523100,SP,1399,3.99,14.15,Risk zone
da8622b14eb17ae2831f4ac5b9dab84a,SP,1308,4.07,11.85,Risk zone
955fee9216a65b617aa5c0531780ce60,SP,1277,4.05,11.43,Risk zone
7a67c85e85bb2ce8582c35f2203ad736,SP,1151,4.24,10.6,Stars
ea8482cd71df3c1969d7b9473ff13abc,SP,1140,3.95,15.44,Risk zone
4869f7a5dfa277a7dca6462dcf3b52b2,SP,1124,4.12,13.52,Stars
3d871de0142ce09b7081e2b9d1733cb1,SP,1069,4.11,11.51,Stars
7c67e1448b00f6e969d365cea6b010ab,SP,976,3.35,25.72,Risk zone
8b321bb669392f5163d04c59e235e066,SP,939,4.0,15.02,Risk zone
1025f0e2d44d7041d6cf58b6550e0bfa,SP,907,3.85,17.42,Risk zone
620c87c171fb2a6dd6e8bb4dec959fc6,RJ,733,4.21,12.55,Stars
a1043bafd471dff536d0c462352beb48,MG,715,4.19,10.91,Stars
cca3071e3e9bb7d12640c9fbe2301306,SP,700,3.85,20.14,Risk zone
f8db351d8c4c4c22c6835c19a46f01b0,SP,663,4.22,10.26,Stars
e9779976487b77c6d4ac45f75ec7afe9,SP,653,4.17,11.79,Stars
fa1c13f2614d7b5c4749cbc52fecda94,SP,581,4.34,10.5,Stars
7d13fca15225358621be4086e1eb0964,SP,561,4.0,17.47,Risk zone
d91fb3b7d041e83b64a00a3edfb37e4f,SP,531,4.09,15.07,Risk zone
128639473a139ac0f3e5f5ade55873a5,PR,527,4.18,11.2,Stars
391fc6631aebcf3004804e51b40bcf1e,SP,523,3.96,15.11,Risk zone
d2374cbcbb3ca4ab1086534108cc3ab7,SP,518,3.69,20.27,Risk zone
46dc3b2cc0980fb8ec44634e21d2718e,RJ,515,4.18,13.2,Stars
85d9eb9ddc5d00ca9336a2219c97bb13,MG,506,4.17,10.47,Stars
53e4c6e0f4312d4d2107a8c9cddf45cd,SP,471,4.04,14.01,Risk zone
1835b56ce799e6a4dc4eddc053f04066,SP,420,3.59,24.52,Risk zone
4e922959ae960d389249c378d1c939f5,SP,415,3.9,18.31,Risk zone
dbc22125167c298ef99da25668e1011f,MG,405,4.23,9.14,Stars
1900267e848ceeba8fa32d80c1a5f5a8,SP,404,3.85,19.55,Risk zone
16090f2ca825584b5a147ab24aa30c86,SP,400,4.04,14.0,Risk zone
2138ccb85b11a4ec1e37afbd1c8eda1f,SP,395,3.9,16.96,Risk zone
9f505651f4a6abe901a56cdc21508025,SP,394,4.28,10.15,Stars
06a2c3af7b3aee5d69171b0e14f0ee87,MA,388,4.0,16.75,Risk zone
218d46b86c1881d022bce9c68a7d4b15,SP,386,4.15,12.95,Stars
8581055ce74af1daba164fdbd55a40de,SP,386,4.23,10.88,Stars
8160255418d5aaa7dbdc9f4c64ebda44,SP,381,3.83,17.32,Risk zone
4d6d651bd7684af3fffabd5f08d12e5a,SP,368,4.17,12.5,Stars
53243585a1d6dc2643021fd1853d8905,BA,356,4.08,12.08,Risk zone
c826c40d7b19f62a09e2d7c5e7295ee2,SP,352,4.04,15.62,Risk zone
92eb0f42c21942b6552362b9b114707d,SP,338,3.93,15.09,Risk zone
7299e27ed73d2ad986de7f7c77d919fa,MG,338,4.42,6.8,Stars
de722cd6dad950a92b7d4f82673f8833,PE,337,4.16,9.5,Stars
7e93a43ef30c4f03f38b393420bc753a,SP,335,4.21,11.94,Stars
b2ba3715d723d245138f291a6fe42594,SP,334,4.11,14.67,Stars
7ddcbb64b5bc1ef36ca8c151f6ec77df,SP,331,3.91,17.22,Risk zone
ef506c96320abeedfb894c34db06f478,SP,321,3.9,17.13,Risk zone
5dceca129747e92ff8ef7a997dc4f8ca,SP,321,3.99,19.94,Risk zone
77530e9772f57a62c906e1c21538ab82,PR,318,4.05,15.72,Risk zone
